date,exec_date,exit_date,regime,n_positions,portfolio_return,cumulative_return,tickers,position_returns
2024-05-01,2024-05-02,2024-05-03,BULL,5,-0.01111290265832494,-0.011112902658324986,BOL.ST:25%|WRT1V.HE:25%|SCATC.OL:20%|ALFA.ST:20%|LHV1T.TL:10%,BOL.ST:-2.31%|WRT1V.HE:+1.90%|SCATC.OL:-5.00%|ALFA.ST:-0.04%|LHV1T.TL:+0.00%
2024-05-02,2024-05-03,2024-05-06,BULL,5,-0.0022975919682609648,-0.013384961710694143,WRT1V.HE:25%|ALFA.ST:25%|GN.CO:25%|KOG.OL:20%|FORTUM.HE:5%,WRT1V.HE:+1.22%|ALFA.ST:+0.30%|GN.CO:-3.33%|KOG.OL:+1.07%|FORTUM.HE:+0.23%
2024-05-03,2024-05-06,2024-05-07,BULL,5,0.004596790317164395,-0.008849699255917054,AMGN:25%|WRT1V.HE:25%|ORK.OL:20%|NEE:20%|ESSITY-B.ST:10%,AMGN:-2.94%|WRT1V.HE:+1.87%|ORK.OL:+1.19%|NEE:+1.89%|ESSITY-B.ST:+1.09%
